
---	Treino para o 0-fold	---
Epochs        22600. Current error: 0.0017643330. Bit fail 0.
Epochs        22700. Current error: 0.0017642908. Bit fail 0.
Epochs        22800. Current error: 0.0017642656. Bit fail 0.
Epochs        22900. Current error: 0.0017642863. Bit fail 0.
Epochs        23000. Current error: 0.0017642693. Bit fail 0.
Epochs        23100. Current error: 0.0017643336. Bit fail 0.
Epochs        23200. Current error: 0.0017642493. Bit fail 0.
Epochs        23300. Current error: 0.0017643207. Bit fail 0.
Epochs        23400. Current error: 0.0017643758. Bit fail 0.
Epochs        23500. Current error: 0.0017643523. Bit fail 0.
Epochs        23600. Current error: 0.0017643371. Bit fail 0.
Epochs        23700. Current error: 0.0017642387. Bit fail 0.
Epochs        23800. Current error: 0.0017643002. Bit fail 0.
Epochs        23900. Current error: 0.0017643232. Bit fail 0.
Epochs        24000. Current error: 0.0017643131. Bit fail 0.
Epochs        24100. Current error: 0.0017643824. Bit fail 0.
Epochs        24200. Current error: 0.0017643158. Bit fail 0.
Epochs        24300. Current error: 0.0017643011. Bit fail 0.
Epochs        24400. Current error: 0.0017643365. Bit fail 0.
Epochs        24500. Current error: 0.0017642438. Bit fail 0.
Epochs        24600. Current error: 0.0017643156. Bit fail 0.
Epochs        24700. Current error: 0.0017642999. Bit fail 0.
Epochs        24800. Current error: 0.0017643314. Bit fail 0.
Epochs        24900. Current error: 0.0017643096. Bit fail 0.
Epochs        25000. Current error: 0.0017643648. Bit fail 0.
Epochs        25100. Current error: 0.0017642851. Bit fail 0.
Epochs        25200. Current error: 0.0017643484. Bit fail 0.
Epochs        25300. Current error: 0.0017643269. Bit fail 0.
Epochs        25400. Current error: 0.0017643872. Bit fail 0.
Epochs        25500. Current error: 0.0017643656. Bit fail 0.
Epochs        25600. Current error: 0.0017643997. Bit fail 0.
Epochs        25700. Current error: 0.0017643445. Bit fail 0.
Epochs        25800. Current error: 0.0017643581. Bit fail 0.
Epochs        25900. Current error: 0.0017642968. Bit fail 0.
Epochs        26000. Current error: 0.0017642856. Bit fail 0.
Epochs        26100. Current error: 0.0017643815. Bit fail 0.
Epochs        26200. Current error: 0.0017644347. Bit fail 0.
Epochs        26300. Current error: 0.0017644909. Bit fail 0.
Epochs        26400. Current error: 0.0017643317. Bit fail 0.
Epochs        26500. Current error: 0.0017644196. Bit fail 0.
Epochs        26600. Current error: 0.0017643553. Bit fail 0.
Epochs        26700. Current error: 0.0017644254. Bit fail 0.
Epochs        26800. Current error: 0.0017643709. Bit fail 0.
Epochs        26900. Current error: 0.0017644020. Bit fail 0.
Epochs        27000. Current error: 0.0017644122. Bit fail 0.
Epochs        27100. Current error: 0.0017644301. Bit fail 0.
Epochs        27200. Current error: 0.0017643636. Bit fail 0.
Epochs        27300. Current error: 0.0017644172. Bit fail 0.
Epochs        27400. Current error: 0.0017644153. Bit fail 0.
Epochs        27500. Current error: 0.0017643924. Bit fail 0.
Epochs        27600. Current error: 0.0017644385. Bit fail 0.
Epochs        27700. Current error: 0.0017644542. Bit fail 0.
Epochs        27800. Current error: 0.0017644610. Bit fail 0.
Epochs        27900. Current error: 0.0017644776. Bit fail 0.
Epochs        28000. Current error: 0.0017645756. Bit fail 0.
Epochs        28100. Current error: 0.0017644918. Bit fail 0.
Epochs        28200. Current error: 0.0017645062. Bit fail 0.
Epochs        28300. Current error: 0.0017647183. Bit fail 0.
Epochs        28400. Current error: 0.0017647409. Bit fail 0.
Epochs        28500. Current error: 0.0017647513. Bit fail 0.
Epochs        28600. Current error: 0.0017647455. Bit fail 0.
Epochs        28700. Current error: 0.0017647262. Bit fail 0.
Epochs        28800. Current error: 0.0017646574. Bit fail 0.
Epochs        28900. Current error: 0.0017646980. Bit fail 0.
Epochs        29000. Current error: 0.0017647003. Bit fail 0.
Epochs        29100. Current error: 0.0017647715. Bit fail 0.
Epochs        29200. Current error: 0.0017647306. Bit fail 0.
Epochs        29300. Current error: 0.0017647600. Bit fail 0.
Epochs        29400. Current error: 0.0017646796. Bit fail 0.
Epochs        29500. Current error: 0.0017646615. Bit fail 0.
Epochs        29600. Current error: 0.0017647810. Bit fail 0.
Epochs        29700. Current error: 0.0017647904. Bit fail 0.
Epochs        29800. Current error: 0.0017648252. Bit fail 0.
Epochs        29900. Current error: 0.0017648770. Bit fail 0.
Epochs        30000. Current error: 0.0017647782. Bit fail 0.
Epochs        30100. Current error: 0.0017648094. Bit fail 0.
Epochs        30200. Current error: 0.0017647392. Bit fail 0.
Epochs        30300. Current error: 0.0017648243. Bit fail 0.
Epochs        30400. Current error: 0.0017648216. Bit fail 0.
Epochs        30500. Current error: 0.0017647969. Bit fail 0.
Epochs        30600. Current error: 0.0017647808. Bit fail 0.
Epochs        30700. Current error: 0.0017648720. Bit fail 0.
Epochs        30800. Current error: 0.0017648295. Bit fail 0.
Epochs        30900. Current error: 0.0017649130. Bit fail 0.
Epochs        31000. Current error: 0.0017647933. Bit fail 0.
Epochs        31100. Current error: 0.0017647742. Bit fail 0.
Epochs        31200. Current error: 0.0017647594. Bit fail 0.
Epochs        31300. Current error: 0.0017647303. Bit fail 0.
Epochs        31400. Current error: 0.0017647492. Bit fail 0.
Epochs        31500. Current error: 0.0017647792. Bit fail 0.
Epochs        31600. Current error: 0.0017648387. Bit fail 0.
Epochs        31700. Current error: 0.0017648331. Bit fail 0.
Epochs        31800. Current error: 0.0017649237. Bit fail 0.
Epochs        31900. Current error: 0.0017648834. Bit fail 0.
Epochs        32000. Current error: 0.0017648457. Bit fail 0.
Epochs        32100. Current error: 0.0017648668. Bit fail 0.
Epochs        32200. Current error: 0.0017648584. Bit fail 0.
Epochs        32300. Current error: 0.0017648386. Bit fail 0.
Epochs        32400. Current error: 0.0017648499. Bit fail 0.
Epochs        32500. Current error: 0.0017648492. Bit fail 0.
Epochs        32600. Current error: 0.0017649151. Bit fail 0.
Epochs        32700. Current error: 0.0017648457. Bit fail 0.
Epochs        32800. Current error: 0.0017648882. Bit fail 0.
Epochs        32900. Current error: 0.0017648358. Bit fail 0.
Epochs        33000. Current error: 0.0017648648. Bit fail 0.
Epochs        33100. Current error: 0.0017650897. Bit fail 0.
Epochs        33200. Current error: 0.0017652001. Bit fail 0.
Epochs        33300. Current error: 0.0017652343. Bit fail 0.
Epochs        33400. Current error: 0.0017655181. Bit fail 0.
Epochs        33500. Current error: 0.0017654842. Bit fail 0.
Epochs        33600. Current error: 0.0017654382. Bit fail 0.
Epochs        33700. Current error: 0.0017654857. Bit fail 0.
Epochs        33800. Current error: 0.0017655055. Bit fail 0.
Epochs        33900. Current error: 0.0017655002. Bit fail 0.
Epochs        34000. Current error: 0.0017655002. Bit fail 0.
Epochs        34100. Current error: 0.0017654434. Bit fail 0.
Epochs        34200. Current error: 0.0017653772. Bit fail 0.
Epochs        34300. Current error: 0.0017653445. Bit fail 0.
Epochs        34400. Current error: 0.0017653991. Bit fail 0.
Epochs        34500. Current error: 0.0017653506. Bit fail 0.
Epochs        34600. Current error: 0.0017652860. Bit fail 0.
Epochs        34700. Current error: 0.0017653333. Bit fail 0.
Epochs        34800. Current error: 0.0017652692. Bit fail 0.
Epochs        34900. Current error: 0.0017653403. Bit fail 0.
Epochs        35000. Current error: 0.0017653035. Bit fail 0.
Epochs        35100. Current error: 0.0017654059. Bit fail 0.
Epochs        35200. Current error: 0.0017654089. Bit fail 0.
Epochs        35300. Current error: 0.0017653097. Bit fail 0.
Epochs        35400. Current error: 0.0017653629. Bit fail 0.
